,f1_min2,recall_min2,precision_min2,f1_inb,recall_inb,precision_inb
resnet50,0.762153,0.73798,0.90814,0.766813,0.735445,0.92701
resnext50_32x4d,0.76883,0.75074,0.905592,0.774971,0.750737,0.92049
densenet121,0.766886,0.752253,0.917053,0.774231,0.744963,0.928287
efficientnet_b3,0.780399,0.777227,0.895831,0.784428,0.771501,0.911205
eca_nfnet_l0,0.798483,0.794252,0.888775,0.802978,0.791718,0.915095
bert-base-multilingual-uncased,0.825374,0.856103,0.87141,0.829785,0.874527,0.870931
bert-base-indonesian-1.5G,0.820426,0.856187,0.853064,0.822845,0.883915,0.861257
distilbert-base-indonesian,0.813436,0.854869,0.854233,0.816363,0.865881,0.855317
paraphrase-xlm-r-multilingual-v1,0.829395,0.862709,0.87361,0.834545,0.865643,0.885645
paraphrase-distilroberta-base-v1,0.808062,0.845159,0.860479,0.814366,0.857305,0.870394
