,f1,recall,precision,f1_min2,recall_min2,precision_min2
resnet50,0.757385,0.726135,0.925569,0.762153,0.73798,0.90814
resnext50_32x4d,0.760473,0.731729,0.928756,0.76883,0.75074,0.905592
densenet121,0.762457,0.739039,0.928803,0.766886,0.752253,0.917053
efficientnet_b3,0.774103,0.764059,0.912719,0.780399,0.777227,0.895831
eca_nfnet_l0,0.788663,0.771427,0.911394,0.798483,0.794252,0.888775
image ensemble,0.789446,0.781857,0.901332,0.798919,0.803312,0.874693
tf-idf,0.78322,0.794429,0.863616,0.789865,0.808627,0.847779
bert-base-multilingual-uncased,0.817695,0.848685,0.884845,0.825374,0.856103,0.87141
bert-base-indonesian-1.5G,0.812737,0.843387,0.868974,0.820426,0.856187,0.853064
distilbert-base-indonesian,0.808627,0.845347,0.861303,0.813436,0.854869,0.854233
paraphrase-xlm-r-multilingual-v1,0.821114,0.848321,0.882831,0.829395,0.862709,0.87361
paraphrase-distilroberta-base-v1,0.802462,0.834882,0.872976,0.808062,0.845159,0.860479
text ensemble,0.82834,0.865428,0.86694,0.834841,0.881199,0.846505
tfidf resnet union,0.833676,0.909294,0.828982,0.833025,0.917284,0.815973
nfnet sbert union,0.852916,0.937521,0.835198,0.848255,0.946619,0.813833
tfidf resnet ensemble,0.869537,0.886325,0.912953,0.878699,0.904866,0.896751
nfnet sbert ensemble,0.880711,0.913826,0.902448,0.888967,0.928442,0.893179
text image union,0.852675,0.949394,0.825564,0.845963,0.957242,0.802211
